knjiga,id_knjige,avtor,id_avtor,serija,opis,leto,zalozba,povprecna_ocena,score,st_glasov,st_ocen,st_reviewov,nagrade
Faust,1872,Johann Wolfgang von Goethe,285217,True,"Goethe’s Faust reworks the late medieval myth of a brilliant scholar so disillusioned he resolves to make a contract with Mephistopheles. The devil will do all he asks on Earth and seeks to grant him a moment in life so glorious that he will wish it to last forever. But if Faust does bid the moment stay, he falls to Mephisto and must serve him after death. In this first part of Goethe’s great work, the embittered thinker and Mephistopheles enter into their agreement, and soon Faust is living a rejuvenated life and winning the love of the beautiful Gretchen. But in this compelling tragedy of arrogance, unfulfilled desire, and self-delusion, Faust heads inexorably toward an infernal destruction.  The best translation of Faust available, this volume provides the original German text and its English counterpart on facing pages. Walter Kaufmann's translation conveys the poetic beauty and rhythm as well as the complex depth of Goethe's language. Includes Part One and selections from Part Two.",1998,Anchor Books,3.96,2299,31,33579,1499,False
I've Got Your Number,1873,Sophie Kinsella,6160,False,"I’ve lost it. :( The only thing in the world I wasn’t supposed to lose. My engagement ring. It’s been in Magnus’s family for three generations. And now the very same day his parents are coming, I’ve lost it. The very same day! Do not hyperventilate, Poppy. Stay positive :) !!     Poppy Wyatt has never felt luckier. She is about to marry her ideal man, Magnus Tavish, but in one afternoon her “happily ever after” begins to fall apart. Not only has she lost her engagement ring in a hotel fire drill but in the panic that follows, her phone is stolen. As she paces shakily around the lobby, she spots an abandoned phone in a trash can. Finders keepers! Now she can leave a number for the hotel to contact her when they find her ring. Perfect!     Well, perfect except that the phone’s owner, businessman Sam Roxton, doesn’t agree. He wants his phone back and doesn’t appreciate Poppy reading his messages and wading into his personal life.     What ensues is a hilarious and unpredictable turn of events as Poppy and Sam increasingly upend each other’s lives through emails and text messages. As Poppy juggles wedding preparations, mysterious phone calls, and hiding her left hand from Magnus and his parents . . . she soon realizes that she is in for the biggest surprise of her life.",2012,The Dial Press,3.94,2299,28,198532,13081,True
Blue Moon,1874,Laurell K. Hamilton,9550,True,"When she chose master vampire Jean-Claude over her ex-fiancé, alpha werewolf Richard Zeeman, Anita learned that sometimes love is not enough. But though she and Richard won’t be walking down any aisles, she can’t turn her back on him when he’s arrested on a rape charge in Tennessee. Anita knows firsthand that Richard has the morals of a saint—or at least a boy scout. But his guilt or innocence is not the issue. He’s behind bars, and in five days a full moon will rise…",2002,Berkley Books,4.04,2298,32,62410,1078,False
The Crimson Petal and the White,1875,Michel Faber,16272,False,"Sugar, 19, prostitute in Victorian London, yearns for a better life. From brutal brothel-keeper Mrs Castaway, she ascends in society. Affections of self-involved perfume magnate William Rackham soon smells like love. Her social rise attracts preening socialites, drunken journalists, untrustworthy servants, vile guttersnipes, and whores of all kinds.",2003,Canongate Books,3.86,2297,30,39987,3265,True
NOS4A2,1876,Joe Hill,88506,False,"NOS4A2 is a spine-tingling novel of supernatural suspense from master of horror Joe Hill, the New York Times bestselling author of Heart-Shaped Box and Horns.  Victoria McQueen has a secret gift for finding things: a misplaced bracelet, a missing photograph, answers to unanswerable questions. On her Raleigh Tuff Burner bike, she makes her way to a rickety covered bridge that, within moments, takes her wherever she needs to go, whether it’s across Massachusetts or across the country.  Charles Talent Manx has a way with children. He likes to take them for rides in his 1938 Rolls-Royce Wraith with the NOS4A2 vanity plate. With his old car, he can slip right out of the everyday world, and onto the hidden roads that transport them to an astonishing – and terrifying – playground of amusements he calls “Christmasland.”   Then, one day, Vic goes looking for trouble—and finds Manx. That was a lifetime ago. Now Vic, the only kid to ever escape Manx’s unmitigated evil, is all grown up and desperate to forget. But Charlie Manx never stopped thinking about Victoria McQueen. He’s on the road again and he’s picked up a new passenger: Vic’s own son.",2013,William Morrow,4.07,2296,27,106016,12203,True
This Man Confessed,1877,Jodi Ellen Malpas,6576110,True,"THE STUNNING CONCLUSION TO THE THIS MAN TRILOGY!  The Manor, the very place where their passionate love affair began, fills with guests on what should be the happiest day of Ava and Jesse's lives. She has accepted that she'll never tame the fierceness in Jesse-and she doesn't want to. Their love is profound, their connection powerful, but just when she thinks that she's finally gotten beneath his guarded exterior, more questions arise, leading Ava to believe that Jesse Ward may not be the man she thinks he is. He knows too well how to take her to a place beyond ecstasy . . . but will he also drive her to the brink of despair? It's time for this man to confess.",2013,Forever,4.4,2296,28,77119,4110,False
A Memory of Light,1878,Robert Jordan,6252,True,"The Wheel of Time turns and Ages come and go, leaving memories that become legend. Legend fades to myth, and even myth is long forgotten when the Age that gave it birth returns again. In the Third Age, an Age of Prophecy, the World and Time themselves hang in the balance. What was, what will be, and what is, may yet fall under the Shadow.  When Robert Jordan died in 2007, all feared that these concluding scenes would never be written. But working from notes and partials left by Jordan, established fantasy writer Brandon Sanderson stepped in to complete the masterwork. With The Gathering Storm (Book 12) and Towers of Midnight (Book 13) behind him, Sanderson now re-creates the vision that Robert Jordan left behind.  Edited by Jordan's widow, who edited all of Jordan's books, A Memory of Light will delight, enthrall, and deeply satisfy all of Jordan's legions of readers.  The Wheel of Time turns, and Ages come and pass. What was, what will be, and what is, may yet fall under the Shadow. Let the Dragon ride again on the winds of time.",2013,Tor Books,4.49,2294,27,113652,6225,True
The Eternity Code,1879,Eoin Colfer,10896,True,"Thirteen-year-old criminal mastermind Artemis Fowl has constructed a supercomputer from stolen fairy technology. In the wrong hands it could be fatal for humans and fairies alike. But no need to worry, Artemis has a brilliant plan. He's not going to use the computer; he's just going to show it to a ruthless American businessman with Mafia connections. His bodyguard, Butler, will be with him. What could possibly go wrong...?",2006,Puffin,4.02,2294,31,129804,2470,True
What Dreams May Come,1880,Richard Matheson,8726,False,"The New York Times bestseller  A LOVE THAT TRANSCENDS HEAVEN AND HELL  What happens to us after we die? Chris Nielsen had no idea, until an unexpected accident cut his life short, separating him from his beloved wife, Annie. Now Chris must discover the true nature of life after death.  But even Heaven is not complete without Annie, and when tragedy threatens to divide them forever, Chris risks his very soul to save Annie from an eternity of despair.  Richard Matheson's powerful tale of life---and love---after death was the basis for the Oscar-winning film starring Robin Williams.",2004,Tor Books,3.95,2286,31,11617,1056,False
Alice in Zombieland,1881,Gena Showalter,48192,True,"She won't rest until she's sent every walking corpse back to its grave. Forever.  If anyone had told Alice Bell that her entire life would change course between one heartbeat and the next, she would have laughed. From blissful to tragic, innocent to ruined? Please. But that's all it took. One heartbeat. A blink, a breath, a second, and everything she knew and loved was gone.  Her father was right. The monsters are real.  To avenge her family, Ali must learn to fight the undead. To survive, she must learn to trust the baddest of the bad boys, Cole Holland. But Cole has secrets of his own, and if Ali isn't careful, those secrets might just prove to be more dangerous than the zombies.",2012,Harlequin Teen,4.03,2284,25,40805,5244,True
A Northern Light,1882,Jennifer Donnelly,36346,False,"Sixteen-year-old Mattie Gokey has big dreams but little hope of seeing them come true. Desperate for money, she takes a job at the Glenmore, where hotel guest Grace Brown entrusts her with the task of burning a secret bundle of letters. But when Grace's drowned body is fished from the lake, Mattie discovers that the letters could reveal the grim truth behind a murder.  Set in 1906 against the backdrop of the murder that inspired Theodore Dreiser's  Jennifer Donnelly's astonishing debut novel effortlessly weaves romance, history, and a murder mystery into something moving, and real, and wholly original.  ",2004,HMH Books for Young Readers,3.81,2278,29,41795,3608,True
First Grave on the Right,1883,Darynda Jones,4175419,True,"Charley Davidson is a part-time private investigator and full-time grim reaper. Meaning, she sees dead people. Really. And it's her job to convince them to go into the light. But when these very dead people have died under less than ideal circumstances (like murder), sometimes they want Charley to bring the bad guys to justice. Complicating matters are the intensely hot dreams she's been having about an entity who has been following her all her life...and it turns out he might not be dead after all. In fact, he might be something else entirely. But what does he want with Charley? And why can't she seem to resist him? And what does she have to lose by giving in?With scorching-hot tension and high-octane humor,  is your signpost to paranormal suspense of the highest order.",2011,St. Martin's Press,4.03,2277,29,77536,7856,True
Median Gray,1884,Bill Mesce Jr.,854966,False,"SFPD Sgt. Adam Plantinga, author of 400 Things Cops Know and Police Craft. At a time when New York’s mean streets were their meanest, one NYPD detective at the end of his career takes one last chance to correct a 20-year-old injustice, and another cop at the beginning of his career tries to stop him before a police department already scarred by corruption investigations takes another hit.",unknown,unknown,4.29,2276,24,6453,22,False
Master and Commander,1885,Patrick O&#39;Brian,5600,True,"As the Royal Navy takes part in the wars against Napoleonic France, young Jack Aubrey receives his first command, the small, old, and slow HMS . Accompanied by his eccentric new friend, the physician and naturalist Stephen Maturin, Aubrey does battle with the naval hierarchy, with his own tendency to make social blunders, and with the challenges of forging an effective crew -- before ultimately taking on enemy ships in a vivid, intricately detailed series of sea battles.",1990,W. W. Norton  Company,4.06,2275,32,50741,3347,True
Written on the Body,1886,Jeanette Winterson,9399,False,"is a secret code only visible in certain lights: the accumulation of a lifetime gather there. In places the palimpsest is so heavily worked that the letters feel like braille. I like to keep my body rolled away from prying eyes, never unfold too much, tell the whole story. I didn't know that Louise would have reading hands. She has translated me into her own book.",1994,Vintage,4.07,2274,30,24781,1754,True
La Dame aux Camélias,1887,Alexandre Dumas fils,3186713,False,"One of the greatest love stories of all time, this novel has fascinated generations of readers. Dumas's subtle and moving portrait of a woman in love is based on his own love affair with one of the most desirable courtesans in Paris. This is a completely new translation commissioned for the World's Classics.",2000,Oxford University Press,4.01,2272,27,35174,2165,False
Trickster's Choice,1888,Tamora Pierce,8596,True,"Alianne is the teenage daughter of the famed Alanna, the first lady knight in Tortall. Young Aly follows in the quieter footsteps of her father, however, delighting in the art of spying. When she is captured and sold as a slave to an exiled royal family in the faraway Copper Islands, it is this skill that makes a difference in a world filled with political intrigue, murderous conspiracy, and warring gods. This is the first of two books featuring Alianne.",2017,Ember,4.2,2269,31,65828,1473,False
Winter of the World,1889,Ken Follett,3447,True,"Winter of the World picks up right where the first book left off, as its five interrelated families—American, German, Russian, English, Welsh—enter a time of enormous social, political, and economic turmoil, beginning with the rise of the Third Reich, through the Spanish Civil War and the great dramas of World War II, up to the explosions of the American and Soviet atomic bombs.Carla von Ulrich, born of German and English parents, finds her life engulfed by the Nazi tide until she commits a deed of great courage and heartbreak. . . . American brothers Woody and Chuck Dewar, each with a secret, take separate paths to momentous events, one in Washington, the other in the bloody jungles of the Pacific. . . . English student Lloyd Williams discovers in the crucible of the Spanish Civil War that he must fight Communism just as hard as Fascism. . . . Daisy Peshkov, a driven American social climber, cares only for popularity and the fast set, until the war transforms her life, not just once but twice, while her cousin Volodya carves out a position in Soviet intelligence that will affect not only this war—but the war to come.These characters and many others find their lives inextricably entangled as their experiences illuminate the cataclysms that marked the century. From the drawing rooms of the rich to the blood and smoke of battle, their lives intertwine, propelling the reader into dramas of ever-increasing complexity.",2012,Berkley,4.34,2268,27,131156,8182,True
Standing for Something: 10 Neglected Virtues That Will Heal Our Hearts and Homes,1890,Gordon B. Hinckley,313356,False,"In this national bestseller, the president of The Church of Jesus Christ of Latter-day Saints, Gordon B. Hinckley, has created a classic look at the values that can change our world--and how to stand up for them. Drawing on anecdotes from his much-admired life of faith and service, as well as examples from American culture today, he examines ten virtues that have always illuminated the path to a better world: love, honesty, morality, civility, learning, forgiveness and mercy, thrift and industry, gratitude, optimism, and faith. He then shows how the two guardians of virtue--marriage and the family--can keep us on that path, even in difficult times. Standing for Something is an inspiring blueprint for what we all can do--as individuals, as a nation, and as a world community--to rediscover the values and virtues that have historically made us strong and that will lead us to a brighter future.",2001,Harmony,4.6,2265,30,14145,739,False
Shadow Souls,1891,L.J. Smith,50873,True,"On the run . . .  Elena Gilbert's love, the vampire Stefan Salvatore, has been captured and imprisoned by demonic spirits who are wreaking havoc in Fell's Church. While her friends Bonnie and Meredith explore the evil that has taken over their town, Elena goes in search of Stefan.  In order to find him, she entrusts her life to Stefan's brother, Damon Salvatore, the handsome but deadly vampire who wants Elena, body and soul. Along with her childhood friend Matt, they set out for the slums of the Dark Dimension, where Stefan is being held captive. It is rumored to be a world where vampires and demons roam free, but humans must live enslaved to their supernatural masters. . . .  Elena will stop at nothing to free Stefan. Yet with each passing day the tension between Elena and Damon grows, and she is faced with a terrible decision: Which brother does she really want?  Back in Fell's Church, Bonnie and Meredith have made some dire discoveries. They hastily try to follow Elena and warn her—only to be caught up in Elena's most dangerous adventure yet.",2010,HarperCollins Publishers,3.77,2265,32,36584,1119,False
Lover at Last,1892,J.R. Ward,20248,True,"Qhuinn, son of no one, is used to being on his own. Disavowed from his bloodline, shunned by the aristocracy, he has finally found an identity as one of the most brutal fighters in the war against the Lessening Society. But his life is not complete. Even as the prospect of having a family of his own seems to be within reach, he is empty on the inside, his heart given to another....  Blay, after years of unrequited love, has moved on from his feelings for Qhuinn. And it’s about time: it seems Qhuinn has found his perfect match in a Chosen female, and they are going to have a young. It’s hard for Blay to see the new couple together, but building your life around a pipe dream is just a heartbreak waiting to happen. And Qhuinn needs to come to terms with some dark things before he can move forward…  Fate seems to have taken these vampire soldiers in different directions... but as the battle over the race’s throne intensifies, and new players on the scene in Caldwell create mortal danger for the Brotherhood, Qhuinn finally learns the true definition of courage, and two hearts who are meant to be together... finally become one.",2013,NAL,4.29,2265,29,64001,6117,True
Seraphina,1893,Rachel Hartman,357601,True,"  In her  bestselling and Morris Award-winning debut, Rachel Hartman introduces mathematical dragons in an alternative-medieval world to fantasy and science-fiction readers of all ages.   Four decades of peace have done little to ease the mistrust between humans and dragons in the kingdom of Goredd. Folding themselves into human shape, dragons attend court as ambassadors, and lend their rational, mathematical minds to universities as scholars and teachers. As the treaty's anniversary draws near, however, tensions are high.  Seraphina Dombegh has reason to fear both sides. An unusually gifted musician, she joins the court just as a member of the royal family is murdered—in suspiciously draconian fashion. Seraphina is drawn into the investigation, partnering with the captain of the Queen's Guard, the dangerously perceptive Prince Lucian Kiggs. While they begin to uncover hints of a sinister plot to destroy the peace, Seraphina struggles to protect her own secret, the secret behind her musical gift, one so terrible that its discovery could mean her very life.",2013,Random House Books for Young Readers,3.93,2265,29,84720,8224,True
The Right Stuff,1894,Tom Wolfe,3083854,False,"When the future began...  The men had it. Yeager. Conrad. Grissom. Glenn. Heroes ... the first Americans in space ... battling the Russians for control of the heavens ... putting their lives on the line.  The women had it. While Mr. Wonderful was aloft, it tore your heart out that the Hero's Wife, down on the ground, had to perform with the whole world watching ... the TV Press Conference: What's in your heart? Do you feel with him while he's in orbit?  The Right Stuff. It's the quality beyond bravery, beyond courage. It's men like Chuck Yeager, the greatest test pilot of all and the fastest man on earth. Pete Conrad, who almost laughed himself out of the running. Gus Grissom, who almost lost it when his capsule sank. John Glenn, the only space traveler whose apple-pie image wasn't a lie.",2001,Bantam,4.22,2264,31,46596,1667,True
Anna Dressed in Blood,1895,Kendare Blake,4086715,True,"Cas Lowood has inherited an unusual vocation: He kills the dead.  So did his father before him, until he was gruesomely murdered by a ghost he sought to kill. Now, armed with his father's mysterious and deadly athame, Cas travels the country with his kitchen-witch mother and their spirit-sniffing cat. They follow legends and local lore, destroy the murderous dead, and keep pesky things like the future and friends at bay.  Searching for a ghost the locals call Anna Dressed in Blood, Cas expects the usual: track, hunt, kill. What he finds instead is a girl entangled in curses and rage, a ghost like he's never faced before. She still wears the dress she wore on the day of her brutal murder in 1958: once white, now stained red and dripping with blood. Since her death, Anna has killed any and every person who has dared to step into the deserted Victorian she used to call home.  Yet she spares Cas's life.",2011,Tor Teen,3.91,2261,30,99547,9995,True
The Fifth Elephant,1896,Terry Pratchett,1654,True,"They say that diplomacy is a gentle art. That its finest practitioners are subtle, sophisticated individuals for whom nuance and subtext are meat and drink. And that mastering it is a lifetime's work. But you  need a certain inclination in that direction. It's not something you can just pick up on the job.  Which is a shame if you find yourself dropped unaccountably into a position of some significant diplomatic responsibility. If you don't really  diplomacy or haven't been to school with the right foreign bigwigs or aren't even sure whether a nod is as good as a wink to anyone, sighted or otherwise, then things are likely to go wrong. It's just a question of how badly...",2008,Corgi,4.24,2259,34,66196,1517,True
At First Sight,1897,Nicholas Sparks,2345,True,"There are a few things Jeremy Marsh was sure he’d never do: he’d never leave New York City; never give his heart away after barely surviving one failed marriage; and never become a parent. Now Jeremy is living in the tiny town of Boone Creek, North Carolina, engaged to Lexie Darnell, the love of his life, and anticipating the start of their family. But just as his life seems to be settling into a blissful pattern, a mysterious and disturbing e-mail sets off a chain of events that will change the course of this young couple’s relationship. How well do we really know the ones we love? How do we handle the inevitable doubts, fears concerning parenthood, and stumbling blocks that are sometimes placed in our way? Continuing the story of the young couple introduced in Sparks’s bestselling True Believer, this novel captures all the heartbreak, tension, romance and surprises of those who are newly wed. An astonishing tale about the love between a man and a woman and between a parent and a child, At First Sight is about endings that bring new beginnings . . . tragedies that lead to unexpected joy . . . and, most of all, the magic of everlasting love.",2006,Grand Central Publishing,3.83,2258,32,78599,3687,False
The Prince and the Pauper,1898,Mark Twain,1244,False,"This treasured historical satire, played out in two very different socioeconomic worlds of 16th-century England, centers around the lives of two boys born in London on the same day: Edward, Prince of Wales and Tom Canty, a street beggar. During a chance encounter, the two realize they are identical and, as a lark, decide to exchange clothes and roles--a situation that briefly, but drastically, alters the lives of both youngsters. The Prince, dressed in rags, wanders about the city's boisterous neighborhoods among the lower classes and endures a series of hardships; meanwhile, poor Tom, now living with the royals, is constantly filled with the dread of being discovered for who and what he really is.",2002,Signet,3.86,2257,44,108361,2231,False
Dance Dance Dance,1899,Haruki Murakami,3354,True,"  High-class call girls billed to Mastercard. A psychic 13-year-old dropout with a passion for Talking Heads. A hunky matinee idol doomed to play dentists and teachers. A one-armed beach-combing poet, an uptight hotel clerk and one very bemused narrator caught in the web of advanced capitalist mayhem. Combine this offbeat cast of characters with Murakami's idiosyncratic prose and out comes .",2002,Vintage,4.05,2257,28,68153,3782,False
The Mysterious Island,1900,Jules Verne,696805,True,"After hijacking a balloon from a Confederate camp, a band of five northern prisoners escapes the American Civil War. Seven thousand miles later, they drop from the clouds onto an uncharted volcanic island in the Pacific. Through teamwork, scientific knowledge, engineering, and perseverance, they endeavour to build a colony from scratch. But this island of abundant resources has its secrets. The castaways discover they are not alone. A shadowy, yet familiar, agent of their unfathomable fate is watching.  What unfolds in Jules Verne’s imaginative marvel is both an enthralling mystery and the ultimate in survivalist adventures.",2004,Modern Library,4.11,2257,34,44707,1733,False
"Moby-Dick or, the Whale",101,Herman Melville,1624,False,"   So Melville wrote of his masterpiece, one of the greatest works of imagination in literary history. In part,  is the story of an eerily compelling madman pursuing an unholy war against a creature as vast and dangerous and unknowable as the sea itself. But more than just a novel of adventure, more than an encyclopaedia of whaling lore and legend, the book can be seen as part of its author's lifelong meditation on America. Written with wonderfully redemptive humour,  is also a profound inquiry into character, faith, and the nature of perception.  This edition of , which reproduces the definitive text of the novel, includes invaluable explanatory notes, along with maps, illustrations, and a glossary of nautical terms.",2003,Penguin Classics ,3.51,203823,2360,487912,16254,True
Harry Potter and the Goblet of Fire,102,J.K. Rowling,1077326,True,"Harry Potter is midway through his training as a wizard and his coming of age. Harry wants to get away from the pernicious Dursleys and go to the International Quidditch Cup with Hermione, Ron, and the Weasleys. He wants to dream about Cho Chang, his crush (and maybe do more than dream). He wants to find out about the mysterious event that's supposed to take place at Hogwarts this year, an event involving two other rival schools of magic, and a competition that hasn't happened for hundreds of years. He wants to be a normal, fourteen-year-old wizard. But unfortunately for Harry Potter, he's not normal - even by wizarding standards.  And in his case, different can be deadly.",2002,Scholastic,4.56,185702,2124,2703425,48567,True
The Red Tent,103,Anita Diamant,626222,False,"Her name is Dinah. In the Bible, her life is only hinted at in a brief and violent detour within the more familiar chapters of the Book of Genesis that are about her father, Jacob, and his dozen sons. Told in Dinah's voice, this novel reveals the traditions and turmoils of ancient womanhood—the world of the red tent. It begins with the story of her mothers—Leah, Rachel, Zilpah, and Bilhah—the four wives of Jacob. They love Dinah and give her gifts that sustain her through a hard-working youth, a calling to midwifery, and a new home in a foreign land. Dinah's story reaches out from a remarkable period of early history and creates an intimate connection with the past. Deeply affecting,  combines rich storytelling with a valuable achievement in modern fiction: a new view of biblical women's society.",1997,St. Martin's Press,4.18,181622,2033,530351,19475,True
The Secret Life of Bees,104,Sue Monk Kidd,4711,False,"Set in South Carolina in 1964,  tells the story of Lily Owens, whose life has been shaped around the blurred memory of the afternoon her mother was killed. When Lily's fierce-hearted black stand-in mother, Rosaleen, insults three of the deepest racists in town, Lily decides to spring them both free. They escape to Tiburon, South Carolina--a town that holds the secret to her mother's past. Taken in by an eccentric trio of black beekeeping sisters, Lily is introduced to their mesmerizing world of bees and honey, and the Black Madonna. This is a remarkable novel about divine female power, a story women will share and pass on to their daughters for years to come.",2003,Penguin Books,4.06,179720,2058,1140198,30944,True
Clockwork Angel,105,Cassandra Clare,150038,True,"In a time when Shadowhunters are barely winning the fight against the forces of darkness, one battle will change the course of history forever. Welcome to the Infernal Devices trilogy, a stunning and dangerous prequel to the  bestselling Mortal Instruments series.  The year is 1878. Tessa Gray descends into London’s dark supernatural underworld in search of her missing brother. She soon discovers that her only allies are the demon-slaying Shadowhunters—including Will and Jem, the mysterious boys she is attracted to. Soon they find themselves up against the Pandemonium Club, a secret organization of vampires, demons, warlocks, and humans. Equipped with a magical army of unstoppable clockwork creatures, the Club is out to rule the British Empire, and only Tessa and her allies can stop them...",2010,Margaret K. McElderry Books,4.31,177748,1955,696957,32798,True
Harry Potter and the Half-Blood Prince,106,J.K. Rowling,1077326,True,"The war against Voldemort is not going well; even Muggle governments are noticing. Ron scans the obituary pages of the , looking for familiar names. Dumbledore is absent from Hogwarts for long stretches of time, and the Order of the Phoenix has already suffered losses.  And yet . . .  As in all wars, life goes on. The Weasley twins expand their business. Sixth-year students learn to Apparate - and lose a few eyebrows in the process. Teenagers flirt and fight and fall in love. Classes are never straightforward, through Harry receives some extraordinary help from the mysterious Half-Blood Prince.  So it's the home front that takes center stage in the multilayered sixth installment of the story of Harry Potter. Here at Hogwarts, Harry will search for the full and complete story of the boy who became Lord Voldemort - and thereby find what may be his only vulnerability.",2006,Scholastic Inc.,4.57,170178,1971,2534688,41070,True
And Then There Were None,107,Agatha Christie,123715,False,"First, there were ten—a curious assortment of strangers summoned as weekend guests to a little private island off the coast of Devon. Their host, an eccentric millionaire unknown to all of them, is nowhere to be found. All that the guests have in common is a wicked past they're unwilling to reveal—and a secret that will seal their fate. For each has been marked for murder. A famous nursery rhyme is framed and hung in every room of the mansion:  Ten little boys went out to dine; One choked his little self and then there were nine. Nine little boys sat up very late; One overslept himself and then there were eight. Eight little boys traveling in Devon; One said he'd stay there then there were seven. Seven little boys chopping up sticks; One chopped himself in half and then there were six. Six little boys playing with a hive; A bumblebee stung one and then there were five. Five little boys going in for law; One got in Chancery and then there were four. Four little boys going out to sea; A red herring swallowed one and then there were three. Three little boys walking in the zoo; A big bear hugged one and then there were two. Two little boys sitting in the sun; One got frizzled up and then there was one. One little boy left all alone; He went out and hanged himself and then there were none.  When they realize that murders are occurring as described in the rhyme, terror mounts. One by one they fall prey. Before the weekend is out, there will be none. Who has choreographed this dastardly scheme? And who will be left to tell the tale? Only the dead are above suspicion.",2004,St. Martin's Press,4.26,165904,1924,877135,35816,False
Middlesex,108,Jeffrey Eugenides,1467,False," tells the breathtaking story of Calliope Stephanides, and three generations of the Greek-American Stephanides family, who travel from a tiny village overlooking Mount Olympus in Asia Minor to Prohibition-era Detroit, witnessing its glory days as the Motor City and the race riots of 1967 before moving out to the tree-lined streets of suburban Grosse Pointe, Michigan. To understand why Calliope is not like other girls, she has to uncover a guilty family secret, and the astonishing genetic history that turns Callie into Cal, one of the most audacious and wondrous narrators in contemporary fiction. Lyrical and thrilling,  is an exhilarating reinvention of the American epic.",2003,Picador USA,4.01,157866,1763,590341,23429,True
The Stranger,109,Albert Camus,957894,False,"Through the story of an ordinary man unwittingly drawn into a senseless murder on an Algerian beach, Camus explored what he termed the nakedness of man faced with the absurd. First published in English in 1946; now in a new translation by Matthew Ward.",1989,Vintage International,3.99,157832,1812,740517,24548,True
The Shining,110,Stephen King,3389,True,"Jack Torrance's new job at the Overlook Hotel is the perfect chance for a fresh start. As the off-season caretaker at the atmospheric old hotel, he'll have plenty of time to spend reconnecting with his family and working on his writing. But as the harsh winter weather sets in, the idyllic location feels ever more remote...and more sinister. And the only one to notice the strange and terrible forces gathering around the Overlook is Danny Torrance, a uniquely gifted five-year-old.",1980,New English Library (Hodder &amp; Stoughton) ,4.23,153545,1807,1166945,26205,True
The Master and Margarita,111,Mikhail Bulgakov,3873,False,"The first complete, annotated English Translation of Mikhail Bulgakov's comic masterpiece.  An audacious revision of the stories of Faust and Pontius Pilate,  is recognized as one of the essential classics of modern Russian literature. The novel's vision of Soviet life in the 1930s is so ferociously accurate that it could not be published during its author's lifetime and appeared only in a censored edition in the 1960s. Its truths are so enduring that its language has become part of the common Russian speech.  One hot spring, the devil arrives in Moscow, accompanied by a retinue that includes a beautiful naked witch and an immense talking black cat with a fondness for chess and vodka. The visitors quickly wreak havoc in a city that refuses to believe in either God or Satan. But they also bring peace to two unhappy Muscovites: one is the Master, a writer pilloried for daring to write a novel about Christ and Pontius Pilate; the other is Margarita, who loves the Master so deeply that she is willing literally to go to hell for him. What ensues is a novel of inexhaustible energy, humor, and philosophical depth, a work whose nuances emerge for the first time in Diana Burgin's and Katherine Tiernan O'Connor's splendid English version.",1996,Vintage International,4.29,153344,1676,254598,12286,False
The Name of the Wind,112,Patrick Rothfuss,108424,True,"Told in Kvothe's own voice, this is the tale of the magically gifted young man who grows to be the most notorious wizard his world has ever seen.   The intimate narrative of his childhood in a troupe of traveling players, his years spent as a near-feral orphan in a crime-ridden city, his daringly brazen yet successful bid to enter a legendary school of magic, and his life as a fugitive after the murder of a king form a gripping coming-of-age story unrivaled in recent literature.   A high-action story written with a poet's hand,  is a masterpiece that will transport readers into the body and mind of a wizard.",2007,Penguin Group DAW,4.52,153279,1626,747587,43325,True
The Adventures of Tom Sawyer,113,Mark Twain,1244,True,"The Adventures of Tom Sawyer revolves around the youthful adventures of the novel's schoolboy protagonist, Thomas Sawyer, whose reputation precedes him for causing mischief and strife. Tom lives with his Aunt Polly, half-brother Sid, and cousin Mary in the quaint town of St. Petersburg, just off the shore of the Mississippi River. St. Petersburg is described as a typical small-town atmosphere where the Christian faith is predominant, the social network is close-knit, and familiarity resides.    Unlike his brother Sid, Tom receives lickings from his Aunt Polly; ever the mischief-maker, would rather play hooky than attend school and often sneaks out his bedroom window at night to adventure with his friend, Huckleberry Finn ­ the town's social outcast. Tom, despite his dread of schooling, is extremely clever and would normally get away with his pranks if Sid were not such a tattle-tale.    As punishment for skipping school to go swimming, Aunt Polly assigns Tom the chore of whitewashing the fence surrounding the house. In a brilliant scheme, Tom is able to con the neighborhood boys into completing the chore for him, managing to convince them of the joys of whitewashing. At school, Tom is equally as flamboyant, and attracts attention by chasing other boys, yelling, and running around. With his usual antics, Tom attempts to catch the eye of Becky Thatcher, a new girl in town, and persuades her to get engaged by kissing him. But their romance collapses when she learns Tom has been engaged previously to Amy Lawrence. Shortly after Becky shuns him, he accompanies Huckleberry Finn to the graveyard at night, where they witness the murder of Dr. Robinson.  Excerpt: TOM!  No answer.  TOM!  No answer.  What's gone with that boy,  I wonder? You TOM!  No answer.  The old lady pulled her spectacles down and looked over them about the room; then she put them up and looked out under them. She seldom or never looked through them for so small a thing as a boy; they were her state pair, the pride of her heart, and were built for style, not service—she could have seen through a pair of stove-lids just as well. She looked perplexed for a moment, and then said, not fiercely, but still loud enough for the furniture to hear:  Well, I lay if I get hold of you I'll—  She did not finish, for by this time she was bending down and punching under the bed with the broom, and so she needed breath to punctuate the punches with. She resurrected nothing but the cat.  I never did see the beat of that boy!",2006,Penguin Classics,3.91,148339,1823,781069,10342,True
